,Name,Value (€)
433,James Milner,1000000.0
434,Marc Leonard,450000.0
435,Jensen Weir,300000.0
436,Samy Chouchane,250000.0
437,Julio Enciso,22000000.0
438,Facundo Buonanotte,18000000.0
439,Andrew Moran,3000000.0
440,Adam Lallana,1000000.0
441,Kaoru Mitoma,45000000.0
442,Simon Adingra,30000000.0
443,Ansu Fati,25000000.0
444,Abdallah Sima,7500000.0
445,Jeremy Sarmiento,4500000.0
446,Luca Barrington,150000.0
447,Cameron Peupion,100000.0
448,Solly March,18000000.0
449,Benicio Baker,400000.0
450,Evan Ferguson,50000000.0
451,João Pedro,45000000.0
452,Danny Welbeck,5000000.0
453,Joshua Duffus,500000.0
454,Mark O'Mahony,300000.0
455,Mark Travers,3500000.0
456,Ionuț Radu,3000000.0
457,Neto,2500000.0
458,Will Dennis,350000.0
459,Darren Randolph,300000.0
460,Cameron Plain,100000.0
461,Callan McKenna,100000.0
462,Ilya Zabarnyi,32000000.0
463,Marcos Senesi,22000000.0
464,Lloyd Kelly,18000000.0
465,Chris Mepham,6000000.0
466,James Hill,2000000.0
467,Milos Kerkez,20000000.0
468,Max Aarons,16000000.0
469,Ryan Fredericks,1000000.0
470,Adam Smith,1000000.0
471,Tyler Adams,15000000.0
472,Philip Billing,22000000.0
473,Alex Scott,20000000.0
474,Lewis Cook,12000000.0
475,Ryan Christie,12000000.0
476,Joe Rothwell,2500000.0
477,Gavin Kilkenny,300000.0
478,Marcus Tavernier,20000000.0
479,Romain Faivre,15000000.0
480,Justin Kluivert,14000000.0
481,Emiliano Marcondes,1500000.0
482,Luis Sinisterra,17000000.0
483,Hamed Traoré,17000000.0
484,Jaidon Anthony,6000000.0
485,Dango Ouattara,20000000.0
486,Antoine Semenyo,10000000.0
487,David Brooks,8000000.0
488,Dominic Sadi,100000.0
489,Dominic Solanke,40000000.0
490,Enes Ünal,18000000.0
491,Kieffer Moore,2000000.0
492,Jamal Lowe,1500000.0
493,Mark Flekken,12000000.0
494,Thomas Strakosha,3000000.0
495,Hákon Valdimarsson,2500000.0
496,Matthew Cox,800000.0
497,Ellery Balcombe,300000.0
498,Vincent Angelini,100000.0
499,Nathan Collins,25000000.0
500,Kristoffer Ajer,15000000.0
501,Ethan Pinnock,12000000.0
502,Zanka,1000000.0
503,Ben Mee,1000000.0
504,Ji-soo Kim,600000.0
505,Charlie Goode,500000.0
506,Benjamin Fredrick,150000.0
507,Rico Henry,20000000.0
508,Val Adedokun,150000.0
509,Aaron Hickey,28000000.0
510,Mads Roerslev,10000000.0
511,Fin Stevens,450000.0
512,Vitaly Janelt,22000000.0
513,Christian Nørgaard,18000000.0
