,Name,Value (€)
520,Marcus Edwards,8000000.0
521,Lyle Foster,10000000.0
522,Zian Flemming,10000000.0
523,Armando Broja,10000000.0
524,Zeki Amdouni,9000000.0
525,Ashley Barnes,200000.0
526,Thibaut Courtois,18000000.0
527,Andriy Lunin,15000000.0
528,Fran González,1000000.0
529,Dean Huijsen,70000000.0
530,Éder Militão,30000000.0
531,Raúl Asencio,30000000.0
532,Antonio Rüdiger,12000000.0
533,David Alaba,4000000.0
534,Álvaro Carreras,60000000.0
535,Fran García,15000000.0
536,Ferland Mendy,8000000.0
537,Trent Alexander-Arnold,70000000.0
538,Daniel Carvajal,7000000.0
539,Aurélien Tchouaméni,75000000.0
540,Federico Valverde,120000000.0
541,Eduardo Camavinga,50000000.0
542,Dani Ceballos,8000000.0
543,Jorge Cestero,3000000.0
544,Jude Bellingham,160000000.0
545,Arda Güler,90000000.0
546,Vinicius Junior,150000000.0
547,Rodrygo,60000000.0
548,Franco Mastantuono,50000000.0
549,Brahim Díaz,35000000.0
550,Kylian Mbappé,200000000.0
551,Gonzalo García,15000000.0
552,Joan García,30000000.0
553,Wojciech Szczęsny,900000.0
554,Diego Kochen,500000.0
555,Pau Cubarsí,80000000.0
556,Eric García,30000000.0
557,Ronald Araujo,25000000.0
558,Andreas Christensen,10000000.0
559,Alejandro Balde,60000000.0
560,Gerard Martín,20000000.0
561,Jules Koundé,65000000.0
562,João Cancelo,10000000.0
563,Marc Casadó,25000000.0
564,Marc Bernal,10000000.0
565,Pedri,140000000.0
566,Frenkie de Jong,45000000.0
567,Gavi,40000000.0
568,Fermín López,70000000.0
569,Dani Olmo,60000000.0
570,Raphinha,80000000.0
571,Marcus Rashford,40000000.0
572,Lamine Yamal,200000000.0
573,Roony Bardghji,10000000.0
574,Ferran Torres,50000000.0
575,Robert Lewandowski,9000000.0
576,Jan Oblak,17000000.0
577,Juan Musso,3000000.0
578,Dávid Hancko,30000000.0
579,Robin Le Normand,30000000.0
580,Marc Pubill,15000000.0
581,José María Giménez,14000000.0
582,Clément Lenglet,6000000.0
583,Matteo Ruggeri,15000000.0
584,Marcos Llorente,22000000.0
585,Nahuel Molina,15000000.0
586,Johnny Cardoso,22000000.0
587,Pablo Barrios,60000000.0
588,Rodrigo Mendoza,15000000.0
589,Obed Vargas,8000000.0
590,Koke,7000000.0
591,Álex Baena,55000000.0
592,Thiago Almada,20000000.0
593,Giuliano Simeone,40000000.0
594,Ademola Lookman,35000000.0
595,Antoine Griezmann,11000000.0
