,Name,Value (€)
296,Rob Holding,3500000.0
297,Tyrick Mitchell,25000000.0
298,Daniel Muñoz,25000000.0
299,Nathaniel Clyne,1000000.0
300,Caleb Kporha,1000000.0
301,Joel Ward,500000.0
302,Adam Wharton,45000000.0
303,Cheick Doucouré,25000000.0
304,Jefferson Lerma,10000000.0
305,David Ozoh,700000.0
306,Kaden Rodney,200000.0
307,Will Hughes,7000000.0
308,Naouirou Ahamada,3500000.0
309,Jeffrey Schlupp,3000000.0
310,Eberechi Eze,55000000.0
311,Daichi Kamada,12000000.0
312,Matheus França,10000000.0
313,Justin Devenny,6000000.0
314,Asher Agbinone,75000.0
315,Ismaïla Sarr,25000000.0
316,Romain Esse,12000000.0
317,Malcolm Ebiowei,1200000.0
318,Franco Umeh,75000.0
319,Jean-Philippe Mateta,30000000.0
320,Odsonne Édouard,8000000.0
321,Jordan Ayew,2500000.0
322,Emiliano Martínez,20000000.0
323,Joe Gauci,1500000.0
324,Robin Olsen,1000000.0
325,Oliwier Zych,800000.0
326,Ezri Konsa,35000000.0
327,Pau Torres,32000000.0
328,Diego Carlos,9500000.0
329,Tyrone Mings,5000000.0
330,Kortney Hause,1000000.0
331,Sil Swinkels,150000.0
332,Ian Maatsen,28000000.0
333,Lucas Digne,10000000.0
334,Matty Cash,25000000.0
335,Kosta Nedeljkovic,10000000.0
336,Andrés García,7000000.0
337,Amadou Onana,50000000.0
338,Boubacar Kamara,40000000.0
339,Lamare Bogarde,6000000.0
340,Youri Tielemans,38000000.0
341,Jacob Ramsey,32000000.0
342,John McGinn,16000000.0
343,Ross Barkley,6000000.0
344,Morgan Rogers,55000000.0
345,Marco Asensio,20000000.0
346,Emiliano Buendía,15000000.0
347,Jamaldeen Jimoh-Aloba,300000.0
348,Jaden Philogene,16000000.0
349,Kadan Young,300000.0
350,Leon Bailey,28000000.0
351,Ollie Watkins,40000000.0
352,Jhon Durán,35000000.0
353,Donyell Malen,25000000.0
354,Bart Verbruggen,30000000.0
355,Carl Rushworth,3000000.0
356,Jason Steele,1500000.0
357,Tom McGill,600000.0
358,Killian Cahill,150000.0
359,Jan Paul van Hecke,32000000.0
360,Igor Julio,20000000.0
361,Adam Webster,11000000.0
362,Eiran Cashin,8000000.0
363,Lewis Dunk,6000000.0
364,Ruairi McConville,1800000.0
365,Odeluga Offiah,600000.0
366,Ed Turns,350000.0
367,Pervis Estupiñán,30000000.0
368,Ferdi Kadıoğlu,25000000.0
369,Jacob Slater,200000.0
370,Imari Samuels,100000.0
371,Tariq Lamptey,11000000.0
372,Joël Veltman,4000000.0
373,Charlie Tasker,200000.0
374,Carlos Baleba,40000000.0
375,Mats Wieffer,25000000.0
376,Jack Hinshelwood,24000000.0
377,Billy Gilmour,20000000.0
378,Yasin Ayari,22000000.0
379,Matt O'Riley,22000000.0
380,Malick Yalcouyé,17000000.0
381,Diego Gómez,14000000.0
382,Jakub Moder,12000000.0
383,Valentín Barco,12000000.0
384,James Milner,1000000.0
385,Jensen Weir,350000.0
386,Brajan Gruda,25000000.0
387,Julio Enciso,22000000.0
388,Kaoru Mitoma,40000000.0
389,Simon Adingra,28000000.0
390,Jeremy Sarmiento,7000000.0
391,Cameron Peupion,225000.0
392,Yankuba Minteh,30000000.0
393,Solly March,6000000.0
394,Amario Cozier-Duberry,2000000.0
395,Georginio Rutter,32000000.0
396,Evan Ferguson,25000000.0
397,Danny Welbeck,5000000.0
398,Mark O'Mahony,500000.0
399,Kepa Arrizabalaga,10000000.0
400,Mark Travers,4000000.0
401,Callan McKenna,600000.0
402,Will Dennis,350000.0
403,Dean Huijsen,60000000.0
404,Ilya Zabarnyi,42000000.0
405,Marcos Senesi,22000000.0
406,Chris Mepham,6000000.0
407,James Hill,3000000.0
408,Matai Akinmboni,1000000.0
409,Milos Kerkez,45000000.0
410,Julio Soler,8000000.0
411,Archie Harris,100000.0
412,Julián Araujo,10000000.0
413,Max Aarons,6000000.0
414,Adam Smith,750000.0
415,Tyler Adams,18000000.0
416,Ben Winterburn,500000.0
417,Alex Scott,20000000.0
418,Lewis Cook,15000000.0
419,Philip Billing,10000000.0
420,Ryan Christie,10000000.0
421,Zain Silcott-Duberry,200000.0
422,Justin Kluivert,35000000.0
423,Marcus Tavernier,18000000.0
424,Hamed Traoré,20000000.0
425,Luis Sinisterra,15000000.0
426,Jaidon Anthony,9000000.0
427,Antoine Semenyo,40000000.0
428,Dango Ouattara,28000000.0
429,David Brooks,10000000.0
430,Dominic Sadi,150000.0
431,Evanilson,35000000.0
432,Enes Ünal,10000000.0
433,Daniel Jebbison,4000000.0
434,Remy Rees-Dottin,300000.0
435,Daniel Adu-Adjei,150000.0
436,Mark Flekken,10000000.0
437,Hákon Valdimarsson,2500000.0
438,Matthew Cox,800000.0
439,Nathan Collins,28000000.0
440,Sepp van den Berg,22000000.0
441,Kristoffer Ajer,18000000.0
442,Ethan Pinnock,7000000.0
443,Ben Mee,700000.0
444,Ji-soo Kim,600000.0
445,Benjamin Fredrick,150000.0
446,Rico Henry,15000000.0
447,Jayden Meghoma,500000.0
448,Michael Kayode,18000000.0
449,Aaron Hickey,10000000.0
450,Mads Roerslev,6000000.0
451,Vitaly Janelt,20000000.0
452,Christian Nørgaard,11000000.0
453,Yunus Konak,4500000.0
454,Yegor Yarmolyuk,15000000.0
455,Mathias Jensen,14000000.0
456,Frank Onyeka,7000000.0
457,Josh Dasilva,5000000.0
458,Paris Maghoma,800000.0
459,Ryan Trevitt,275000.0
460,Keane Lewis-Potter,23000000.0
461,Mikkel Damsgaard,28000000.0
462,Fábio Carvalho,14000000.0
463,Myles Peart-Harris,900000.0
464,Kevin Schade,30000000.0
465,Gustavo Nunes,10000000.0
466,Tony Yogane,125000.0
467,Bryan Mbeumo,55000000.0
468,Yoane Wissa,32000000.0
469,Igor Thiago,18000000.0
470,Jordan Pickford,18000000.0
471,João Virgínia,800000.0
472,Asmir Begovic,250000.0
473,Zan Luk Leban,150000.0
474,Jarrad Branthwaite,50000000.0
475,James Tarkowski,9000000.0
476,Michael Keane,5000000.0
477,Mason Holgate,4000000.0
478,Reece Welch,350000.0
479,Vitaliy Mykolenko,28000000.0
480,Jake O'Brien,18000000.0
481,Nathan Patterson,15000000.0
482,Ashley Young,500000.0
483,Séamus Coleman,500000.0
484,Roman Dixon,200000.0
485,Orel Mangala,18000000.0
486,James Garner,18000000.0
487,Idrissa Gueye,4000000.0
488,Carlos Alcaraz,14000000.0
489,Tim Iroegbunam,9000000.0
490,Harrison Armstrong,800000.0
491,Jenson Metcalfe,175000.0
492,Abdoulaye Doucouré,7000000.0
493,Dwight McNeil,25000000.0
494,Jack Harrison,14000000.0
495,Iliman Ndiaye,22000000.0
496,Jesper Lindstrøm,18000000.0
497,Beto,22000000.0
498,Dominic Calvert-Lewin,16000000.0
499,Armando Broja,12000000.0
500,Neal Maupay,8000000.0
501,Youssef Chermiti,8000000.0
502,Bernd Leno,10000000.0
503,Steven Benda,1000000.0
504,Calvin Bassey,25000000.0
505,Issa Diop,14000000.0
506,Jorge Cuenca,5000000.0
507,Antonee Robinson,35000000.0
508,Ryan Sessegnon,15000000.0
509,Kenny Tete,13000000.0
510,Timothy Castagne,13000000.0
511,Sander Berge,25000000.0
512,Saša Lukić,14000000.0
513,Harrison Reed,6000000.0
514,Tom Cairney,1500000.0
515,Emile Smith Rowe,30000000.0
516,Andreas Pereira,18000000.0
517,Josh King,1000000.0
518,Alex Iwobi,28000000.0
519,Willian,750000.0
520,Martial Godo,600000.0
521,Harry Wilson,15000000.0
522,Adama Traoré,9000000.0
523,Rodrigo Muniz,20000000.0
524,Jay Stansfield,11000000.0
525,Raúl Jiménez,5000000.0
526,Carlos Vinícius,3500000.0
527,Alphonse Areola,9000000.0
528,Wes Foderingham,600000.0
529,Lukasz Fabianski,500000.0
530,Jean-Clair Todibo,25000000.0
531,Maximilian Kilman,25000000.0
532,Konstantinos Mavropanos,17000000.0
533,Kaelan Casey,1000000.0
534,Emerson,10000000.0
535,Oliver Scarles,8000000.0
536,Aaron Cresswell,500000.0
537,Aaron Wan-Bissaka,24000000.0
538,Vladimír Coufal,5000000.0
539,Edson Álvarez,25000000.0
540,Tomáš Souček,18000000.0
541,Guido Rodríguez,10000000.0
542,Carlos Soler,18000000.0
543,Andrew Irving,4000000.0
544,Lewis Orford,400000.0
545,Lucas Paquetá,28000000.0
546,Crysencio Summerville,22000000.0
547,Mohammed Kudus,45000000.0
548,Jarrod Bowen,40000000.0
549,Luís Guilherme,15000000.0
550,Niclas Füllkrug,10000000.0
551,Danny Ings,6000000.0
552,Michail Antonio,700000.0
553,Anthony Patterson,14000000.0
554,Nathan Bishop,275000.0
555,Blondy Nna Noukeu,150000.0
556,Simon Moore,150000.0
557,Dan Ballard,8000000.0
558,Jenson Seelt,2000000.0
559,Luke O'Nien,1500000.0
560,Aji Alese,1000000.0
561,Joe Anderson,175000.0
562,Zak Johnson,75000.0
563,Dennis Cirkin,8000000.0
564,Leo Hjelde,2000000.0
565,Oliver Bainbridge,100000.0
566,Trai Hume,12000000.0
567,Niall Huggins,800000.0
568,Pierre Ekwah,7000000.0
569,Salis Abdul Samed,5500000.0
570,Jobe Bellingham,22000000.0
571,Enzo Le Fée,18000000.0
572,Dan Neil,7500000.0
573,Alan Browne,2200000.0
574,Nectarios Triantis,1000000.0
